"","variavel","nome","tamanho","variancia","normalidade"
"1","explicito","False",637,16.5898841871462,2.89605268584779e-07
"2","explicito","True",103,17.7510546066387,0.115472587031043
"3","acusticidade_norm","baixo",247,17.2549361989954,0.00106530190670828
"4","acusticidade_norm","medio",246,17.9857373395685,5.88466901452976e-06
"5","acusticidade_norm","alto",247,15.7859941363145,0.0511266026985496
"6","dancabilidade_norm","baixo",247,16.2765105489151,8.24270169729727e-08
"7","dancabilidade_norm","medio",246,17.5556715329489,0.00208282291825313
"8","dancabilidade_norm","alto",247,15.4821883692839,0.00476580315285867
"9","duracao_ms_norm","baixo",247,18.2862988041728,0.000129687487352314
"10","duracao_ms_norm","medio",246,14.5998006878403,0.00036738218136904
"11","duracao_ms_norm","alto",247,16.5286819769478,0.00658978117191519
"12","energia_norm","baixo",248,20.4423900512709,2.34328637124491e-05
"13","energia_norm","medio",246,14.0997141896552,5.53134654169521e-05
"14","energia_norm","alto",246,14.2140472306554,0.0018985601568399
"15","instrumentalidade","baixo",576,15.7207282367979,9.87842394146336e-07
"16","instrumentalidade","medio",1,NA,NA
"17","instrumentalidade","alto",163,20.4273915029691,0.0237582648530892
"18","tonalidade","0",90,22.457467113573,0.00372518404353288
"19","tonalidade","1",73,14.5528953101088,0.175617141748851
"20","tonalidade","10",43,14.6450254690859,0.219048780592438
"21","tonalidade","11",73,14.194219192907,0.0467511455818347
"22","tonalidade","2",68,17.4957043373391,0.00445857054501666
"23","tonalidade","3",30,12.9287581039047,0.171950922552212
"24","tonalidade","4",66,15.6868412245755,0.108060250640651
"25","tonalidade","5",52,16.7841263133324,0.689177618095883
"26","tonalidade","6",45,14.8064279600883,0.808119281365786
"27","tonalidade","7",93,20.8253009847807,0.00114169034716612
"28","tonalidade","8",39,18.7502940695714,0.00481954113632629
"29","tonalidade","9",68,13.5954053413247,0.0625098168111768
"30","vivacidade_norm","baixo",248,16.9537703305106,0.00190528718458802
"31","vivacidade_norm","medio",245,17.9246142728212,0.000141740693132786
"32","vivacidade_norm","alto",247,11.5447501684322,0.000137061836342332
"33","intensidade_sonora_mod","baixo",251,14.017047937584,0.0741561527215799
"34","intensidade_sonora_mod","medio",242,14.2896259135502,0.000253250612099291
"35","intensidade_sonora_mod","alto",247,22.1694601661836,3.43913223156082e-05
"36","modo","0",281,14.0267792974556,0.00109160406811032
"37","modo","1",459,18.8749404180491,2.07588235733472e-06
"38","discursividade_norm","baixo",247,17.102255480077,0.00355392943131309
"39","discursividade_norm","medio",246,15.7626126310868,4.3972020334669e-06
"40","discursividade_norm","alto",247,17.1096905677665,1.13837340710627e-05
"41","compasso","1",5,26.2769082884364,0.163688410507101
"42","compasso","3",42,19.8875317312828,0.32027485136045
"43","compasso","4",673,16.9096129139077,1.80642984477229e-07
"44","compasso","5",20,13.454540250905,0.147756351709
"45","valencia_norm","baixo",247,18.3824244284385,0.000128965686201227
"46","valencia_norm","medio",247,16.7259421367735,0.000609401892417553
"47","valencia_norm","alto",246,15.8542134072453,0.00361624982034111
"48","genero","arrocha",13,4.72294220397773,0.267346361678239
"49","genero","brazilian hip hop",21,26.5761237837327,0.00133788377031268
"50","genero","forro",41,9.90698837856152,0.00815599651353738
"51","genero","funk carioca",59,9.61502900389683,6.94529424893189e-12
"52","genero","funk paulista",22,0.984861867256697,0.29705625303398
"53","genero","funk rj",8,9.26710484595399,0.30884631915488
"54","genero","funk viral",16,11.6221452799073,0.00804924954701376
"55","genero","k-pop",7,3.13904584049162,0.00273708536861594
"56","genero","nova mpb",14,1.48787098522805,0.925517476695533
"57","genero","pagode",47,5.94650007312669,3.5250621813631e-06
"58","genero","pop",53,3.14678532931424,0.0212174656282538
"59","genero","pop nacional",24,11.0792774602731,0.000265841289736053
"60","genero","sertanejo pop",9,21.3247282546483,0.254760873590381
"61","genero","sertanejo universitario",343,11.4222169526989,0.000538872123036666
"62","genero","trap brasileiro",63,11.1104049805755,0.182956353646334
"63","popularidade_artista_norm","baixo",380,13.7580468846479,1.73728532788634e-06
"64","popularidade_artista_norm","medio",148,13.1486225638314,0.000442594364731325
"65","popularidade_artista_norm","alto",212,17.2251919133519,0.000828406654338329
"66","popularidade_album_norm","baixo",276,10.6005564310202,4.15727392868298e-07
"67","popularidade_album_norm","medio",286,9.80688410204332,0.0258310165448503
"68","popularidade_album_norm","alto",178,16.4423584494447,6.92324246687193e-07
